,EANCode
0,1
1,2
2,7702189056016
3,7702189045782
4,7702535010327
5,7702189056023
6,7702189056030
7,7702005628960
8,70847004707
9,7702027434020
10,7702303842341
11,7702084057125
12,7702025148455
13,7702535010341
14,7702189056047
15,7702007062588
16,7702005600317
17,7702026020927
18,7702152124483
19,7702004004932
20,7702084057156
21,7702007212105
22,7702090023008
23,7702993025130
24,7703133085809
25,7702303004787
26,7705326002297
27,7702993031292
28,7702090039436
29,7702189058201
30,7702354946210
31,77035684
32,7702049001637
33,7702189058218
34,7702189058225
35,7702090041521
36,7702005004467
37,7702189058232
38,7702051002554
39,7702439073985
40,7702057081027
41,7702354950347
42,7702191657171
43,7702189056214
44,7622210427106
45,7702354948337
46,7702004003058
47,7702166006003
48,7703812002035
49,7702910099701
50,7702189056245
51,7702354948344
52,7702004003065
53,7702189058300
54,7702031407362
55,7702027434242
56,7702014648584
57,7702177007884
58,7702354948368
59,7703812000017
60,7702032202010
61,7702193103140
62,7702189058348
63,7702189011251
64,7702090064186
65,7702354948412
66,7702006298940
67,7702166004030
68,7509546015040
69,7702024055105
70,7702090064193
71,7702166004047
72,7702090064209
73,7702166004054
74,7702090013016
75,7702040007003
76,9002490100070
77,7702626218342
78,7702031800682
79,80432402795
80,7702007212402
81,7702354948467
82,7702354946425
83,7702090013061
84,7702354004361
85,7702011271563
86,7702040005009
87,7702045370775
88,7702090051995
89,7590011251100
90,7702354946463
91,7702004013484
92,7703133073844
93,7702535027127
94,7702303607223
95,7702004007360
96,7702090029505
97,7702090033601
98,7702193101252
99,7500435108294
100,7702090052039
101,7702090029512
102,7702605101511
103,7702004013514
104,7500435124683
105,7702511000014
106,7702005600720
107,7702004007377
108,7702007212501
109,7702193101269
110,7707307962842
111,7702024071648
112,7702193101283
113,7701101359587
114,7702090029543
115,7509546652139
116,7702354934255
117,7702168214000
118,7702084127217
119,7702090041842
120,7622201776633
121,7702090029567
122,7702914599436
123,7702914599443
124,7702057841171
125,7622201776664
126,7702090037784
127,7702007058970
128,7702047040034
129,7702047040041
130,7702161001003
131,7702084137520
132,77044273
133,7702085012024
134,7702047040058
135,7702024071747
136,7702011277893
137,77011527
138,7702103956057
139,7702354934361
140,7702011021915
141,7702001042012
142,7702085012062
143,7702025136735
144,7702993044063
145,7702084127330
146,7705326070371
147,7702004013668
148,7702001042029
149,7702025136759
150,7702993044087
151,7702004003454
152,7702025142910
153,7702025136773
154,7701101247112
155,7702133009037
156,7702085012123
157,7702025136797
158,7705326076588
159,7702090029741
160,7702004003508
161,7702011200181
162,7702090042054
163,7702511000281
164,7702007001822
165,7702354950897
166,7707307961074
167,7702090029819
168,7702027416330
169,7702354944780
170,7702535011089
171,7702004005649
172,7702004013842
173,7702189056788
174,7500435153683
175,7501033204500
176,7702191348512
177,7702090029857
178,7702090029864
179,7702712003371
180,7702090029871
181,7702535011119
182,7702024485681
183,7702090038064
184,7702439107376
185,7702090038071
186,7702090031928
187,7702191348536
188,7702090029888
189,7705326070593
190,7709755384641
191,7702560041792
192,7707096271682
193,7702090031942
194,7622201717575
195,7702090038088
196,7702047003466
197,7702090038095
198,7702090031966
199,7702910002015
200,7702914114400
201,7701101357927
202,7702189056887
203,7702027041662
204,7509546683263
205,7702191348611
206,7707244561283
207,7509546683270
208,7509546652559
209,7500810001295
210,7702090032017
211,7509546683287
212,7702018880409
213,7702007016376
214,7702025135035
215,7701101233085
216,7702103729088
217,7702535001028
218,7702001118151
219,7702010381256
220,7702231000011
221,7702166041547
222,7702127107022
223,7703133072335
224,7702166041554
225,7702026197971
226,7702560031700
227,7702166041561
228,77042651
229,7702993042397
230,7702005601246
231,7707244561375
232,7702626216935
233,7702626216942
234,7703812101103
235,7702354951160
236,7703812004862
237,7702049000449
238,7707237413902
239,7702014786576
240,7705326078995
241,7702191348758
242,7702001044504
243,7622201693213
244,7702506112029
245,7703133021227
246,7705326079022
247,7702024066101
248,7701101358139
249,7702914597951
250,7702024004677
251,7702914597968
252,7703812101202
253,7702049000531
254,7702914597975
255,7702914597982
256,7702006205535
257,7702354930783
258,7702049000548
259,7702006205542
260,7702010420337
261,7702006400114
262,7702032252022
263,7702004001917
264,7702004001924
265,8801038562445
266,7702004008077
267,7703133072533
268,7750168001687
269,5000281003160
270,7702010420382
271,7702192422051
272,7702004001955
273,7701101358245
274,7702993028261
275,7702177021095
276,7702404005034
277,7702005601451
278,7702004001962
279,7702084850863
280,7705326079152
281,7707007200442
282,7702005601468
283,7613038640334
284,7702191451342
285,7702032252114
286,7702010631382
287,7591066701015
288,7702045531350
289,8801038200026
290,7702020011228
291,7702004002013
292,7702626219233
293,77010148
294,7702004110565
295,7702026196196
296,7702626219240
297,7702057080044
298,7702010420467
299,7702152008950
300,7702103295231
301,7702004002051
302,7702004110596
303,7702152008967
304,7702007037197
305,7707244561689
306,7702354009373
307,7702032252190
308,7702152107295
309,7500435201315
310,7500435201322
311,7509546683690
312,7702354953546
313,7702191162699
314,7702712001872
315,7702026177874
316,7702191162712
317,7702025117017
318,7702032252251
319,7702007063899
320,7702007074147
321,7702191162729
322,7702004110701
323,7702354951542
324,7702535011706
325,7702090038651
326,7702004110718
327,7702535011713
328,7702193149315
329,7702993028483
330,7702189057419
331,7702137007503
332,7702014829969
333,7702404005270
334,7707356100011
335,7702137007534
336,7702007059892
337,7702535001530
338,7702354953669
339,7702439845322
340,7702168278477
341,7702007074260
342,7702535011799
343,7501007492568
344,7702024064473
345,7702090032604
346,7702189055453
347,7702006400480
348,7702059501028
349,7702535022054
350,7702004016614
351,7702010111464
352,7702027429354
353,7702535022061
354,7500435154420
355,7702439392758
356,7702090032635
357,7702189055484
358,7702010111501
359,7702090044942
360,7707197613602
361,7590011205158
362,7702354951719
363,7702090049077
364,7702026313272
365,7702189055545
366,7702189055552
367,7702001086023
368,7702024033868
369,7702189055569
370,7702189057617
371,77076052
372,7702189057624
373,7702191162972
374,7702189055583
375,7702189057631
376,7702552000097
377,7702001086054
378,7702007228007
379,7702189057648
380,7702090016369
381,7707199340155
382,7702189045379
383,7702914115209
384,7702303006347
385,7702026147471
386,7702006204057
387,7707199348380
388,7702090016413
389,7702914594462
390,50196135
391,7702914160308
392,7702189057716
393,7702090036923
394,7702354032319
395,7701101242049
396,7702189057730
397,7501065922243
398,7702090036930
399,7702303809221
400,7702910099138
401,7702535009987
402,7702439339715
403,7702535009994
404,7500435191500
405,7702152101583
406,7702354032340
407,7702010470103
408,7702047041239
409,7702168217308
410,7702914594530
411,7702047041253
412,7702354032357
413,7702007039719
414,7702047041260
415,7702354032364
416,7702535012079
417,7702914594547
418,7702024472308
419,7702535012086
420,7702560042744
421,7702025139965
422,7702047041277
423,7702047041284
424,7702168725254
425,7702354032395
426,7702047041291
427,77082381
428,7702024255246
429,7702354032401
430,7702025142033
431,7702189057815
432,7702354951962
433,7702189057822
434,7702535024423
435,7509546676012
436,7702010470189
437,7702189057839
438,7702192224051
439,7702189057846
440,7702090022711
441,7702189057853
442,7509546676029
443,7702535024447
444,7702354032449
445,7702189057860
446,7702090022728
447,7702189045577
448,7702189053770
449,7509546676043
450,7509546676050
451,7702189057877
452,7705326053206
453,7702024341338
454,7702189055835
455,7702189057884
456,7702189053787
457,7702354929503
458,7702189053794
459,7702090022766
460,7702007039856
461,7707307962224
462,7702191658871
463,7702189053817
464,7702028021625
465,7702189057921
466,7707244560262
467,7702910035846
468,7703090433927
469,7702024392583
470,7702024034186
471,7702189053831
472,7707244560279
473,7702189053848
474,7702189057945
475,50196388
476,7702398007212
477,7702609006508
478,7702090039214
479,7509546676142
480,7702914596787
481,7702914598842
482,7509546676159
483,7702192218050
484,7702020020169
